es_en_TRANSOFMERS	VerConf
However, there is still little information on the level of enforcement.	1
(b) To continue to work in close coordination and cooperation with INTERPOL and donor States and organizations to facilitate technical assistance aimed at developing the capacities of law enforcement agencies and providing equipment and facilities to States in need;	0
Unless addressed by the Government, those problems could pose serious threats to the security and stability of Timor-Leste.	1
1. Decides that all States shall take the following measures with respect to individuals and entities designated prior to this date as the Taliban and the other individuals, groups, undertakings and entities associated with them, as specified in section A (âTaliban associated personsâ) and section B (âTaliban associated entities and other groups or undertakingsâ) of the Consolidated List of the Security Council Committee established pursuant to resolution 1267 (1999) and 1333 (2000) from the date of adoption of this resolution, as well as other individuals, groups, undertakings and entities associated with the Taliban that constitute a threat to the peace, stability and security of Afghanistan designated by the Committee established pursuant to paragraph 30 (hereinafter referred to as âthe Listâ):	1
In other respects, however, progress has not met expectations, and many challenges remain.	1
One way in which States could take all these issues more fully into account would be to incorporate them into comprehensive and integrated national counter-terrorism strategies, which would pay attention to the factors leading to terrorist activity.	0
That was why, as soon as it saw the undesirable presence of the Ugandan rebels of the Lord's Resistance Army, my Government did not hesitate to formulate an ultimatum for them, prompting them to leave the national territory immediately.	1
In turn, the Committee should continue to promote greater ownership of the sanctions regime and provide effective support to the national efforts of States seeking to contain the threat of Al-Qaida and the Taliban.	1
The Council underlines its readiness to take action against any party seeking to undermine the peace process, in particular through non-compliance with such a cessation of hostilities or the obstruction of talks, peacekeeping operations or humanitarian aid.	1
There are unsubstantiated indications that money carriers carry money from one country to another from ransom payments and drug trafficking.	0
Where possible, Governments are working with their territories to encourage them to create appropriate internal rules in that area, but in many cases legislative frameworks need to be improved.	0
In all those talks, I was encouraged to find a convergence of views: we were all amazed at the many progress that Liberia has made since the fighting ended in 2003, but we are all fully aware of the daunting challenges that Liberia still faces and that, ultimately, we cannot take anything for granted.	1
Combating terrorist rhetoric and violent extremism	0
The task of operating in that environment was not easy, but UNDOF had evolved as a mission and had adjusted its operations to respond to the challenges posed by the environment of conflict and internal confrontations that had recently increased in intensity and severity.	0
The freedom of movement of UNIFIL and the safety and security of its personnel are essential for the effective implementation of the mandate of the Force.	0
Today we have no doubt that the real intention was to prevent the details of his vandalism while acting under the orders of the Central Intelligence Agency.	1
As indicated in the report of the Secretary-General on the situation in Abkhazia, Georgia (S/2005/657) dated 19 October 2005, there has been a positive development since last summer in the process of resolving the conflict in that region.	0
The proposed budget for MONUC for the full 12-month period from 1 July to 30 June 2006, including the requirements for support to the elections and additional civilian police authorized by the Council in its resolution 1621 (2005), is currently being prepared and will be submitted to the General Assembly for its consideration and decision.	0
The negative effects of the situation in Libya will continue to increase, posing a sustained threat to peace and stability in the region, and China expresses its deep concern in this regard.	1
AQIM's arsenal could now include sophisticated anti-aircraft weapons from Libya, although they are unlikely to be operational.	1
- Consider imposing arms embargoes and other measures aimed at preventing the sale or supply of arms and related materiel of all kinds to parties to an armed conflict who commit violations of applicable rules of international law.	1
The Group also visited the Niangoloko police checkpoint and inspected the âmovement registerâ but noted no irregularities; there had been some confiscations of handguns and handguns.	0
Reiterating its deep concern at the threat of terrorism and the risk that non-State actors may acquire, develop, use or traffic in nuclear, chemical and biological weapons and their means of delivery,	1
Conduct of the investigation ordered by the first investigating judge of the Beirut military court into the investigations and anything that might shed light on the investigation into the explosion that caused the death of former Prime Minister Hariri and others.	0
The three States visited by the Committee had played an active role in establishing police agencies and units specialized in combating terrorism and in ensuring that they were provided with the necessary training and tools to carry out their tasks in various related areas of counter-terrorism.	0
I am deeply concerned that sexual violence against girls continues for many years to undermine prospects for peaceful coexistence in Darfur.	1
Organization of a comprehensive training course for all country representatives on humanitarian issues, with a focus on gender awareness.	0
Calling upon all parties to the armed conflict to cease immediately and completely all acts of sexual violence against civilians, in accordance with resolutions 1325 (2000), 1820 (2008), 1888 (2009) and 1889 (2009), the recruitment and use of children, in accordance with resolutions 1612 (2005) and 1882 (2009), and indiscriminate attacks against civilians, in accordance with resolution 1894 (2009),	1
When the situation in Haiti is addressed within the framework of the United Nations, attention is almost always focused on the so-called security issues, and the urgent attention to the serious structural, economic and social problems afflicting the country is minimized for all practical purposes.	1
As Chairman of the Counter-Terrorism Committee of the Security Council and as one of the first promoters of the Global Coalition against Terrorism, the Republic of Croatia strongly condemns international terrorism in all its forms and manifestations and, bearing in mind the danger that terrorism will be countered by other threats to international peace and security -- such as the proliferation of weapons of mass destruction, transnational organized crime and cyber terrorism -- calls for stronger cooperation at the global level for the suppression of this scourge of today.	1
âThe Security Council reiterates its concern at the growing connection, in many cases, between terrorism and transnational organized crime, illicit drugs, money-laundering and illicit arms trafficking, and emphasizes the need to promote coordination of efforts at the national, subregional, regional and international levels to strengthen the international response to this serious problem and this great threat to international peace and security, and encourages the United Nations Office on Drugs and Crime to continue its efforts in this regard, in collaboration with other relevant United Nations entities.	1
The mission witnessed a growing spiral of violence, in the midst of which peacekeepers were subjected to direct attacks by extremists.	0
