es_en_TRANSOFMERS	VerCoop
" The Security Council also reiterates its grave concern about the consequences of instability in northern Mali for the Sahel region and elsewhere, and stresses the need to react rapidly to this crisis, using a strategic and comprehensive approach, in order to ensure the territorial integrity of Mali and restore its stability and prevent the spread of instability to other Sahel States.	0
However, I remain concerned that restrictions on the freedom of movement of United Nations military observers seeking to visit the units, barracks and strongholds of the parties for verification purposes continue.	0
Under the UNIPSIL non-State actors project, the Political Parties Registration Commission continued to play a key role in implementing capacity-building programmes for political parties, including their women and youth sections, to mitigate and resolve conflicts.	0
The Commission recommends that the following persons be prosecuted for the illegal possession, use and circulation of weapons by the PNTL on 8 or 21 May, or both: Rogerio Lobato, Eusebio Salsinha, Antonio da Cruz, Vicente da ConceiÃ§Ã£o, alias Rai Los, Mateus dos Santos Pereira, alias Maurakat, Leandro Lobato, alias Grey Harana, Antonio Lurdes, alias 55, Marcos da Silva Piedade, alias Labadae, Francisco and Santa Cruz.	0
The Committee seeks to ensure that the List is dynamic in nature and is aligned with the evolving Al-Qaida hazard.	0
- To request troop- and police-contributing countries to ensure their proper training so that they are better aware of and able to address issues relating to the protection of personnel involved in United Nations peacekeeping operations and other relevant missions authorized by the Security Council in order to protect civilians.	1
In recent years, a number of States in the subregion (such as Bosnia and Herzegovina, Bulgaria and Serbia) have ratified some of the most recent instruments in this area.	0
The end result should be stable and sustainable, therefore artificial deadlines should not be established.	1
- To request that parties to an armed conflict comply strictly with the applicable rules of international humanitarian law and human rights law relating to the protection of women and girls affected by armed conflict.	1
- To call upon parties to armed conflict to take appropriate measures to refrain from all forms of sexual violence and to prevent and protect all persons from such violence, including by:	1
They expressed the hope of hosting East Timor at the United Nations.	1
âThe Security Council reaffirms its commitment to the protection of civilians in armed conflict and to the continued and full implementation of all its previous relevant resolutions, including resolutions 1265 (1999), 1296 (2000), 1674 (2006), 1738 (2006) and 1894 (2009), as well as all its resolutions on women, peace and security, children and armed conflict, and peacekeeping, and all relevant statements by its President.	1
The Government and the United Nations country team, with input from the World Bank, prepared a booklet on the Millennium Development Goals, which sets out the current situation in Timor-Leste and explains the policy implications of achieving the targets and indicators.	0
Five of the 12 sanctions regimes of the Security Council incorporate inclusion criteria related to violations of international human rights law and international humanitarian law, including participation in violations of the rights of children and women in conflict situations.	0
" The Security Council underlines the need for Member States in post-conflict situations, in consultation, inter alia, with civil society, including women's organizations, to address the specific needs and priorities of women and girls in their national strategies to improve their socio-economic conditions, their participation in income-generating activities and their access to education and basic services.	0
Training courses on the issue of sexual exploitation and abuse; development of policies and procedures on the organizational aspects of victim assistance.	0
In addition, following its recovery by Government forces, the city had hosted more than 11,000 displaced persons, who had been tried to assist as best as possible.	0
Members of the Council stressed that UNMEE was established at the invitation of the two parties and is ready to assist them in implementing the Algiers Agreements.	1
Demands that all parties to armed conflict immediately take appropriate measures to protect civilians, including women and children, from all forms of sexual violence, including, inter alia, the application of appropriate military discipline measures and the application of the principle of command responsibility, the training of troops on the categorical prohibition of all forms of sexual violence against civilians, the rebuttal of myths that fuel sexual violence and vetting candidates for national armed forces and security forces to exclude those associated with serious violations of international humanitarian law and international human rights law, including acts of sexual violence.	1
12. In view of the deep mistrust among the Lebanese people regarding their judicial and security authorities, the Commission has become a source of high expectations and hopes for change, as well as an intermediary between the Lebanese people and their authorities.	1
The conversation lasted from 5 to 10 minutes, during which the shooting continued.	0
We called on our people to join the Popular Defense Forces. They responded by enlisting and began to comply with the orders of the government as part of the state military apparatus."	0
1. Syria once again highlights the initiative it proposed more than 20 years ago for the holding, under the auspices of the United Nations, of an international conference to define terrorism and to make a difference between terrorism and the struggle of peoples against foreign occupation.	1
The current programme of work made substantial progress in raising awareness among parliamentarians, through events organized in Geneva with the Inter-Parliamentary Union and in St. Petersburg, Russian Federation, with parliamentarians from CIS countries.	1
