ar	QuadClass
وقد سنّت باراغواي وبيرو وشيلي وكولومبيا تشريعات تمنح سلطات خاصة في مجال التحقيق للسلطات المعنية بإنفاذ القانون.	4
أن يطلب إلى الأمانة أن تقدم تقارير عن المستجدات فيما يتصل بمسالة التعويضات المزدوجة المحتملة من الفئتين ألف وجيم لكي يواصل الفريق العامل النظر فيها خلال اجتماعاته المقبلة، وأن تبقي المسألة على جدول أعمال الدورة التالية لمجس الإدارة، وأن تتم الموافقة على طلب الأمانة تمديد عقود خمسة من الموظفين حتى 31 كانون الأول/ديسمبر 2005، لتقديم الدعم لخبراء المحاسبة في مجال الأدلة الجنائية وتنفيذ أية توصيات يمكن أن تُقدم بخصوص التعويضات المزدوجة المحتملة.	0
ولكن رغم أن الفريق لا يرى أن المشورة التقنية شبه العسكرية المتاحة على الإنترنت تشكل تهديدا يضاهي التدريب الميداني، فإن إمكانياتها تتزايد مع تحسين نوعية المشورة المقدمة.	0
:: وإنشاء برنامج استثمارات ذات أولوية للفترة 2015-2017 تبلغ قيمته 208 7 بلايين فرنك من فرنكات الجماعة المالية الأفريقية (حوالي 15 بليون دولار).	0
وأكد على ضرورة تعزيز الحوار في إطار المؤسسات الاتحادية الانتقالية وشجع محاوريه على استخدام نفوذهم لبلوغ تلك الغاية.	4
وأعرب بعض أعضاء المجلس عن قلقهم لأن الظروف لم تسمح حتى الآن ببدء التحقيق في الجرائم التي يرتكبها الثوّار.	4
فالمديرية التنفيذية للجنة مكافحة الإرهاب، على سبيل المثال، عملت بشكل مكثّف مع الدول من أجل بناء قدرات هذه الدول في مجال إدارة الحدود لمراقبة تحركات الإرهابيين، وقدراتها في مجال العدالة الجنائية على التصدي لغسل الأموال.	2
٧ - يطلب إلى جميع الدول التقيد بأحكام هذا القرار بغض النظر عن وجود أي حقوق أو التزامات ممنوحة أو مفروضة بموجب أي اتفاق دولي أو أي عقد تم إبرامه أو أي ترخيص أو إذن ممنوح قبل تاريخ بدء نفاذ التدابير المفروضة في الفقرة ٤ أعﻻه؛	4
١٦ - وترد حالات الإعفاء من حظر توريد الأسلحة في الفقرة 54 من القرار 2127 (2013) ويجوز منح الإعفاء من أجل ما يلي: الإمدادات المخصصة حصرا لدعم أو استخدام بعثة توطيد السلام في جمهورية أفريقيا الوسطى، وبعثة الدعم الدولية بقيادة أفريقية في جمهورية أفريقيا الوسطى، ومكتب الأمم المتحدة المتكامل لبناء السلام في جمهورية أفريقيا الوسطى ووحدة الحراسة التابعة له، وفرقة العمل الإقليمية التابعة للاتحاد الأفريقي، والقوات الفرنسية المنشورة في جمهورية أفريقيا الوسطى (الفقرة 54 (أ))()؛ أو إمدادات المعدات العسكرية غير الفتاكة المقصود استخدامها حصراً في الأغراض الإنسانية والوقائية، وما يتصل بذلك من مساعدة أو تدريب تقنيين (الفقرة 54 (ب))؛ أو الملابس الواقية، بما فيها السترات الواقية من الرصاص والخوذات العسكرية التي يجلبها بصفة مؤقتة إلى جمهورية أفريقيا الوسطى أفراد الأمم المتحدة وممثلو وسائط الإعلام والعاملون في مجالي الشؤون الإنسانية والإنمائية والأفراد المرتبطون بهم، لاستخدامهم الشخصي فقط (الفقرة 54 (ج))؛ أو إمدادات الأسلحة الصغيرة والمعدات الأخرى ذات الصلة المخصصة حصرا للاستخدام في دوريات دولية توفر الأمن في منطقة نهر سانغا المحمية التي تتشاطرها ثلاثة بلدان لحمايتها من الصيد غير المشروع وتهريب العاج والأسلحة، وغيرها من الأنشطة المخالفة للقوانين الوطنية لجمهورية أفريقيا الوسطى أو للالتزامات القانونية الدولية لجمهورية أفريقيا الوسطى (الفقرة 54 (د))؛ أو إمدادات الأسلحة والمعدات الفتاكة المتصلة بها لقوات أمن جمهورية أفريقيا الوسطى، المقصود بها حصرا دعم عملية إصلاح قطاع الأمن في جمهورية أفريقيا الوسطى واستعمالها فيها، حسبما وافقت عليه اللجنة مسبقا (الفقرة 54 (هـ))؛ أو مبيعات الأسلحة الأخرى وما يتصل بها من أعتدة أو توريدها أو توفير المساعدة أو الأفراد بأي شكل آخر (الفقرة 54 (و)).	2
فعلى سبيل المثال، أجرت بولندا وكرواتيا، بمعاونة مكتب شؤون نزع السلاح، استعراضاً للنظراء بهدف تقييم تنفيذهما للقرار. وانقسم الاستعراض إلى جولتين من المناقشات والأنشطة تم تنظيمهما في وارسو وزغرب، وحضرهما خبراء اللجنة كمراقبين. وساعد ذلك الاستعراض في الوقوف على الممارسات الفعالة ويسّر تبادل الخبرات.	4
وأوضح أنه أجرى العديد من المناقشات مع الحكومة المغربية التي طلبت أولا، قبل قبول استئناف المساعي الدبلوماسية المكوكية، عقد اجتماع من أجل توضيح شواغلها بشأن التقرير الأخير للأمين العام (S/2014/258)، مؤكدة أن المغرب يرى أن ذلك سيسمح للعملية بالتقدم على نحو أمثل.	4
