es	QuadClass
En Colombia, Chile, el Paraguay y el Perú también se han promulgado leyes que otorgan facultades especiales para la investigación a las fuerzas del orden.	4
Pedir a la secretaría que siguiera presentando informes actualizados sobre la cuestión de la posible duplicación de las indemnizaciones en las categorías A y C para que el Grupo de Trabajo siguiera examinándola en sus reuniones futuras y mantener esa cuestión en el programa del próximo período de sesiones del Consejo de Administración; y pedir a la secretaría que aprobara la prórroga del contrato de cinco funcionarios hasta el 31 de diciembre de 2005, para apoyar a los contadores forenses y aplicar las recomendaciones que hagan respecto de la posible duplicación de las indemnizaciones.	0
Si bien el Equipo de Vigilancia no estima que la capacitación técnica paramilitar disponible en Internet constituye una amenaza equivalente al entrenamiento real, sus posibilidades aumentarán a medida que aumente la calidad de la capacitación.	0
:: El establecimiento del programa de inversiones prioritarias para 2015-2017, por un monto de 7.208 millones de francos de la Comunidad Financiera Africana (CFA) (unos 15.000 millones de dólares).	0
Destacó la necesidad de fomentar el diálogo en las instituciones federales de transición y alentó a sus interlocutores a ejercer su influencia con ese fin.	4
Algunos miembros del Consejo mencionaron con preocupación el hecho de que todavía no hubieran avanzado las investigaciones de crímenes cometidos por los rebeldes.	4
La Dirección Ejecutiva del Comité de las Naciones Unidas contra el Terrorismo, por ejemplo, ha trabajado intensamente con los Estados para fortalecer su capacidad de gestión de las fronteras a fin de controlar los movimientos de los terroristas y su capacidad en materia de justicia penal para combatir el blanqueo de dinero.	2
7. Insta a todos los Estados a que actúen estrictamente de conformidad con las disposiciones de esta resolución, independientemente de la existencia de derechos conferidos u obligaciones impuestas en virtud de un acuerdo internacional o un contrato firmado, o de cualquier licencia o permiso concedido antes de la fecha de la entrada en vigor de las medidas previstas en el párrafo 4 supra;	4
Las exenciones al embargo de armas se establecen en el párrafo 54 de la resolución 2127 (2013) y se pueden conceder para lo siguiente: suministros destinados únicamente al apoyo o el uso por la Misión de Consolidación de la Paz en la República Centroafricana, la Misión Internacional de Apoyo a la República Centroafricana con Liderazgo Africano, la Oficina Integrada de las Naciones Unidas para la Consolidación de la Paz en la República Centroafricana y su unidad de guardias, el Equipo de Tareas Regional de la Unión Africana y las fuerzas francesas desplegadas en la República Centroafricana (párr. 54 a)); suministros de equipo militar no letal con fines exclusivamente humanitarios o de protección, y a la asistencia o capacitación técnicas conexas (párr. 54 b)); indumentaria de protección, incluidos los chalecos antimetralla y los cascos militares, que exporten temporalmente a la República Centroafricana el personal de las Naciones Unidas, representantes de los medios de comunicación y trabajadores humanitarios y de desarrollo y personal asociado, exclusivamente para su uso personal (párr. 54 c)); suministros de armas pequeñas y equipo conexo de otro tipo destinados exclusivamente a su utilización en las patrullas internacionales que prestan servicios de seguridad en la Zona Protegida Trinacional del Río Sangha para prevenir el furtivismo, el contrabando de marfil y armas y otras actividades contrarias a la legislación nacional de la República Centroafricana o sus obligaciones jurídicas internacionales (párr. 54 d)); suministros de armas y otros equipos mortíferos conexos a las fuerzas de seguridad de la República Centroafricana cuyo fin exclusivo sea apoyar el proceso de reforma del sector de la seguridad del país o su uso en ese proceso, previa aprobación del Comité (párr. 54 e)); u otras ventas o suministros de armamento y material conexo, o la prestación de asistencia o personal (párr. 54 f)).	2
Por ejemplo, Croacia y Polonia, con el apoyo de la Oficina de Asuntos de Desarme, realizaron un examen entre pares de su aplicación de la resolución. Consistió en dos rondas de deliberaciones y actividades en Varsovia y en Zagreb, que fueron observadas por los expertos del Comité. Ese examen entre pares contribuyó a determinar las prácticas eficaces y facilitó un intercambio de experiencias.	4
Habían sido numerosos los contactos con el Gobierno de Marruecos, que, antes de aceptar la reanudación de las actividades de diplomacia itinerante, había pedido una reunión para aclarar cuestiones relativas al informe más reciente del Secretario General (S/2014/258) y consideraba que ello permitiría que el proceso avanzara de la mejor manera posible.	4
Sin embargo, a pesar de que se presta mayor atención a este asunto y de que se han realizado avances positivos, siguen existiendo numerosos obstáculos sobre el terreno para ejecutar los mandatos, en particular con respecto a la constante falta de claridad que rodea al concepto y la puesta en práctica de la protección de los civiles, los mecanismos de coordinación internos y externos, los sistemas de alerta temprana y respuesta rápida, el apoyo a las fuerzas de seguridad del gobierno de acogida y la capacidad de los contingentes y la dotación de recursos.	0
Desde mi informe al Consejo de Seguridad de 2 de enero de 2008 (S/2008/1), la ONUCI ha eliminado 15 de los 17 puestos de observación que había establecido a lo largo de la línea verde, de conformidad con lo estipulado por el Acuerdo de Uagadugú.	2
El Relator Especial sobre la Promoción y Protección de los Derechos Humanos y las Libertades Fundamentales en la Lucha contra el Terrorismo realizó una visita oficial a Burkina Faso del 8 al 12 de abril de 2013 por invitación del Gobierno a fin de obtener información sobre la situación actual en Burkina Faso y, de ese modo, ayudar al Gobierno en su labor de lucha contra el terrorismo respetando los derechos humanos y promoviendo la aplicación de los instrumentos internacionales.	2
