mcc,accuracy,f1_score,tp,tn,fp,fn,auroc,auprc,eval_loss,acc,prec,rec,f1,data_name,model_name,seed,train_batch_size,epoch
0.841704311,0,0,804,777,127,16,0.975358839,0.965651447,0.249795448,0.917053364,0.86358754,0.980487805,0.918332381,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,123,8,1
0.842590791,0,0,784,802,102,36,0.972625728,0.966977487,0.310308753,0.919953596,0.884875847,0.956097561,0.919109027,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,123,8,2
0.840041566,0,0,774,811,93,46,0.969567505,0.962611749,0.406657304,0.91937355,0.892733564,0.943902439,0.917605216,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,123,8,3
0.826129769,0,0,757,817,87,63,0.970940805,0.965001799,0.518661064,0.912993039,0.896919431,0.923170732,0.909855769,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,123,8,4
0.840795029,0,0,771,815,89,49,0.969933089,0.9636918,0.526278092,0.919953596,0.896511628,0.940243902,0.917857143,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,123,8,5
0.831626004,0,0,801,771,133,19,0.960310544,0.919450041,0.295998603,0.911832947,0.857601713,0.976829268,0.913340935,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,124,8,1
0.833676545,0,0,743,838,66,77,0.960607328,0.958160294,0.334299874,0.917053364,0.9184178,0.906097561,0.912216083,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,124,8,2
0.836748827,0,0,774,808,96,46,0.969077811,0.961713641,0.305611878,0.917633411,0.889655172,0.943902439,0.915976331,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,124,8,3
0.82281056,0,0,768,802,102,52,0.971761008,0.964723797,0.444806996,0.910672854,0.882758621,0.936585366,0.90887574,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,124,8,4
0.823881811,0,0,757,815,89,63,0.971501997,0.964332526,0.497268758,0.911832947,0.894799054,0.923170732,0.908763505,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,124,8,5
0.835788768,0,0,782,798,106,38,0.97022043,0.963045436,0.318168237,0.916473318,0.880630631,0.953658537,0.915690867,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,125,8,1
0.835498535,0,0,762,820,84,58,0.974229711,0.964340763,0.297668954,0.917633411,0.90070922,0.929268293,0.914765906,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,125,8,2
0.836130347,0,0,753,830,74,67,0.972694528,0.962736651,0.342425945,0.918213457,0.910519952,0.918292683,0.9143898,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,125,8,3
0.826910325,0,0,751,824,80,69,0.97162071,0.964374834,0.519900132,0.913573086,0.903730445,0.915853659,0.909751666,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,125,8,4
0.830287952,0,0,766,811,93,54,0.969885873,0.96294758,0.539704647,0.914733179,0.891734575,0.934146341,0.912447886,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,125,8,5
0.827186839,0,0,756,819,85,64,0.970289229,0.956229304,0.234228034,0.913573086,0.898929845,0.92195122,0.910295003,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,126,8,1
0.830931489,0,0,761,817,87,59,0.966240827,0.94757538,0.348062103,0.915313225,0.89740566,0.92804878,0.912470024,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,126,8,2
0.827727588,0,0,772,802,102,48,0.96862589,0.959803174,0.489151359,0.912993039,0.883295195,0.941463415,0.911452184,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,126,8,3
0.8243133,0,0,771,800,104,49,0.96925858,0.962970439,0.483565812,0.9112529,0.881142857,0.940243902,0.909734513,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,126,8,4
0.827860723,0,0,764,811,93,56,0.969506799,0.963241002,0.57415786,0.913573086,0.891481914,0.931707317,0.911150865,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,126,8,5
0.83839735,0,0,778,805,99,42,0.966920057,0.959544945,0.277549963,0.918213457,0.887115165,0.948780488,0.916912198,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,127,8,1
0.836028939,0,0,749,834,70,71,0.973068206,0.962102107,0.295975765,0.918213457,0.914529915,0.913414634,0.913971934,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,127,8,2
0.822415031,0,0,752,819,85,68,0.974100205,0.968139241,0.329021392,0.9112529,0.898446834,0.917073171,0.907664454,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,127,8,3
0.830287952,0,0,766,811,93,54,0.973126889,0.966963351,0.387705456,0.914733179,0.891734575,0.934146341,0.912447886,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,127,8,4
0.829073786,0,0,765,811,93,55,0.971863533,0.963509055,0.467689227,0.914153132,0.891608392,0.932926829,0.911799762,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,127,8,5
0.833678936,0,0,746,835,69,74,0.971481761,0.963198438,0.265486122,0.917053364,0.915337423,0.909756098,0.912538226,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,128,8,1
0.827402994,0,0,777,796,108,43,0.971398122,0.964176615,0.382218698,0.912412993,0.877966102,0.947560976,0.91143695,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,128,8,2
0.838252553,0,0,777,806,98,43,0.973151845,0.966907951,0.417570902,0.918213457,0.888,0.947560976,0.916814159,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,128,8,3
0.830421266,0,0,782,793,111,38,0.966789877,0.939967043,0.443315089,0.913573086,0.875699888,0.953658537,0.913018097,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,128,8,4
0.821811779,0,0,759,811,93,61,0.965159589,0.955227989,0.534203018,0.910672854,0.89084507,0.925609756,0.907894737,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,128,8,5
0.821307565,0,0,779,788,116,41,0.968267052,0.957072903,0.351291697,0.908932715,0.870391061,0.95,0.90845481,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,129,8,1
0.835498535,0,0,762,820,84,58,0.972834826,0.966339638,0.320029936,0.917633411,0.90070922,0.929268293,0.914765906,AR_EN_DEEPL_Binary,ConfliBERT-cont-uncased,129,8,2
