mcc,accuracy,f1_score,tp,tn,fp,fn,auroc,auprc,eval_loss,acc,prec,rec,f1,data_name,model_name,seed,train_batch_size,epoch
0.822106659,0,0,715,855,49,105,0.976637708,0.973466329,0.328545009,0.910672854,0.935863874,0.87195122,0.902777778,ES_EN_DEEPL_Binary,ConfliBERT-cont-uncased,123,8,1
0.867794842,0,0,785,824,80,35,0.979716167,0.975898298,0.247795081,0.933294664,0.907514451,0.957317073,0.931750742,ES_EN_DEEPL_Binary,ConfliBERT-cont-uncased,123,8,2
0.85782803,0,0,797,801,103,23,0.976838037,0.971846984,0.338435802,0.926914153,0.885555556,0.97195122,0.926744186,ES_EN_DEEPL_Binary,ConfliBERT-cont-uncased,123,8,3
0.857928795,0,0,785,815,89,35,0.975071498,0.968774796,0.359540048,0.928074246,0.898169336,0.957317073,0.926800472,ES_EN_DEEPL_Binary,ConfliBERT-cont-uncased,123,8,4
0.841818655,0,0,749,839,65,71,0.974575059,0.968123106,0.45774091,0.921113689,0.92014742,0.913414634,0.916768666,ES_EN_DEEPL_Binary,ConfliBERT-cont-uncased,123,8,5
0.848364051,0,0,779,813,91,41,0.975415498,0.96857023,0.25847855,0.923433875,0.895402299,0.95,0.921893491,ES_EN_DEEPL_Binary,ConfliBERT-cont-uncased,124,8,1
0.845553552,0,0,794,793,111,26,0.971773149,0.949907462,0.293643198,0.920533643,0.877348066,0.968292683,0.92057971,ES_EN_DEEPL_Binary,ConfliBERT-cont-uncased,124,8,2
0.853413544,0,0,775,822,82,45,0.971245683,0.944826677,0.358287388,0.926334107,0.904317386,0.945121951,0.924269529,ES_EN_DEEPL_Binary,ConfliBERT-cont-uncased,124,8,3
0.854698925,0,0,760,839,65,60,0.977014084,0.973137823,0.353370302,0.9274942,0.921212121,0.926829268,0.924012158,ES_EN_DEEPL_Binary,ConfliBERT-cont-uncased,124,8,4
0.850114871,0,0,760,835,69,60,0.975561191,0.972026905,0.39492924,0.925174014,0.916767189,0.926829268,0.92177077,ES_EN_DEEPL_Binary,ConfliBERT-cont-uncased,124,8,5
0.8350566,0,0,735,847,57,85,0.957277952,0.961651698,0.270244167,0.917633411,0.928030303,0.896341463,0.91191067,ES_EN_DEEPL_Binary,ConfliBERT-cont-uncased,125,8,1
0.847709411,0,0,745,848,56,75,0.97631934,0.971800698,0.269929711,0.924013921,0.930087391,0.908536585,0.919185688,ES_EN_DEEPL_Binary,ConfliBERT-cont-uncased,125,8,2
0.855987375,0,0,764,836,68,56,0.968538879,0.967722223,0.368558159,0.928074246,0.918269231,0.931707317,0.924939467,ES_EN_DEEPL_Binary,ConfliBERT-cont-uncased,125,8,3
0.836025605,0,0,742,841,63,78,0.975167278,0.96945457,0.454397611,0.918213457,0.92173913,0.904878049,0.913230769,ES_EN_DEEPL_Binary,ConfliBERT-cont-uncased,125,8,4
