mcc,accuracy,f1_score,tp,tn,fp,fn,auroc,auprc,eval_loss,acc,prec,rec,f1,data_name,model_name,seed,train_batch_size,epoch
0.870426756,0,0,778,834,70,42,0.98133229,0.972980907,0.247917805,0.935034803,0.91745283,0.948780488,0.932853717,English_Binary,bert-base-uncased-finetune,123,8,1
0.866486114,0,0,803,802,102,17,0.98339224,0.977656749,0.286763685,0.930974478,0.887292818,0.979268293,0.931014493,English_Binary,bert-base-uncased-finetune,123,8,2
0.87463653,0,0,795,819,85,25,0.984716976,0.980192707,0.320169321,0.936194896,0.903409091,0.969512195,0.935294118,English_Binary,bert-base-uncased-finetune,123,8,3
0.880285194,0,0,788,832,72,32,0.982292791,0.978841053,0.360979528,0.939675174,0.91627907,0.96097561,0.938095238,English_Binary,bert-base-uncased-finetune,123,8,4
0.873662945,0,0,788,826,78,32,0.98257541,0.978763393,0.401245308,0.936194896,0.909930716,0.96097561,0.934756821,English_Binary,bert-base-uncased-finetune,123,8,5
0.875865241,0,0,775,842,62,45,0.965899525,0.919538946,0.230539327,0.937935035,0.925925926,0.945121951,0.935425468,English_Binary,bert-base-uncased-finetune,124,8,1
0.87353885,0,0,751,864,40,69,0.982192964,0.977952978,0.248723216,0.936774942,0.9494311,0.915853659,0.932340161,English_Binary,bert-base-uncased-finetune,124,8,2
0.894015783,0,0,792,840,64,28,0.98586499,0.98185723,0.241640075,0.946635731,0.925233645,0.965853659,0.945107399,English_Binary,bert-base-uncased-finetune,124,8,3
0.894333675,0,0,795,837,67,25,0.985042089,0.980281727,0.246796752,0.946635731,0.922273782,0.969512195,0.94530321,English_Binary,bert-base-uncased-finetune,124,8,4
0.891258812,0,0,786,844,60,34,0.984607706,0.979383324,0.290879781,0.945475638,0.929078014,0.958536585,0.943577431,English_Binary,bert-base-uncased-finetune,124,8,5
0.87971976,0,0,782,838,66,38,0.983645856,0.978871383,0.206656905,0.939675174,0.922169811,0.953658537,0.93764988,English_Binary,bert-base-uncased-finetune,125,8,1
0.899774564,0,0,794,843,61,26,0.983819879,0.978305271,0.207063483,0.949535963,0.928654971,0.968292683,0.948059701,English_Binary,bert-base-uncased-finetune,125,8,2
0.887484852,0,0,780,847,57,40,0.980897906,0.977614258,0.271824476,0.943735499,0.931899642,0.951219512,0.941460471,English_Binary,bert-base-uncased-finetune,125,8,3
0.884925063,0,0,773,852,52,47,0.982921433,0.978751372,0.337213876,0.942575406,0.936969697,0.942682927,0.939817629,English_Binary,bert-base-uncased-finetune,125,8,4
0.892188246,0,0,783,848,56,37,0.98017888,0.96924613,0.346440601,0.946055684,0.933253874,0.954878049,0.943942134,English_Binary,bert-base-uncased-finetune,125,8,5
0.874048161,0,0,798,815,89,22,0.981857058,0.975787272,0.192565086,0.935614849,0.899661781,0.973170732,0.934973638,English_Binary,bert-base-uncased-finetune,126,8,1
0.875841813,0,0,802,812,92,18,0.985190481,0.981809187,0.230032805,0.936194896,0.897091723,0.97804878,0.935822637,English_Binary,bert-base-uncased-finetune,126,8,2
0.884055552,0,0,792,831,73,28,0.984091032,0.978436865,0.258063861,0.941415313,0.915606936,0.965853659,0.940059347,English_Binary,bert-base-uncased-finetune,126,8,3
0.873427173,0,0,786,828,76,34,0.982098532,0.977504766,0.327570428,0.936194896,0.911832947,0.958536585,0.934601665,English_Binary,bert-base-uncased-finetune,126,8,4
0.873796535,0,0,778,837,67,42,0.981839521,0.97633717,0.394015641,0.936774942,0.920710059,0.948780488,0.934534535,English_Binary,bert-base-uncased-finetune,126,8,5
